machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;128;128;4;max;ordered;247;;cores;;250;1760448
cenva;2048;64;64;4;max;ordered;247;;cores;;250;1762499
cenva;2048;32;32;4;max;ordered;247;;cores;;250;1699077
cenva;2048;128;128;6;max;task;51;;cores;;50;106913
cenva;2048;64;64;6;max;task;51;;cores;;50;109676
cenva;2048;32;32;6;max;task;51;;cores;;50;230034
cenva;2048;128;128;6;max;task;126;;cores;;125;249538
cenva;2048;64;64;6;max;task;126;;cores;;125;243198
cenva;2048;32;32;6;max;task;126;;cores;;125;570972
cenva;2048;128;128;6;max;task;247;;cores;;250;469140
cenva;2048;64;64;6;max;task;247;;cores;;250;475517
cenva;2048;32;32;6;max;task;247;;cores;;250;1104438
cenva;2048;128;128;6;max;ordered;51;;cores;;50;408149
cenva;2048;64;64;6;max;ordered;51;;cores;;50;418961
cenva;2048;32;32;6;max;ordered;51;;cores;;50;402298
cenva;2048;128;128;6;max;ordered;126;;cores;;125;923091
cenva;2048;64;64;6;max;ordered;126;;cores;;125;924866
cenva;2048;32;32;6;max;ordered;126;;cores;;125;871994
cenva;2048;128;128;6;max;ordered;247;;cores;;250;1753229
cenva;2048;64;64;6;max;ordered;247;;cores;;250;1764262
cenva;2048;32;32;6;max;ordered;247;;cores;;250;1692699
cenva;2048;128;128;8;max;task;51;;cores;;50;106808
cenva;2048;64;64;8;max;task;51;;cores;;50;103529
cenva;2048;32;32;8;max;task;51;;cores;;50;232174
cenva;2048;128;128;8;max;task;126;;cores;;125;247442
cenva;2048;64;64;8;max;task;126;;cores;;125;227558
cenva;2048;32;32;8;max;task;126;;cores;;125;566713
cenva;2048;128;128;8;max;task;247;;cores;;250;462278
cenva;2048;64;64;8;max;task;247;;cores;;250;437893
cenva;2048;32;32;8;max;task;247;;cores;;250;1104759
cenva;2048;128;128;8;max;ordered;51;;cores;;50;411317
cenva;2048;64;64;8;max;ordered;51;;cores;;50;420677
cenva;2048;32;32;8;max;ordered;51;;cores;;50;403378
cenva;2048;128;128;8;max;ordered;126;;cores;;125;926778
cenva;2048;64;64;8;max;ordered;126;;cores;;125;928824
cenva;2048;32;32;8;max;ordered;126;;cores;;125;875612
cenva;2048;128;128;8;max;ordered;247;;cores;;250;1777550
cenva;2048;64;64;8;max;ordered;247;;cores;;250;1764520
cenva;2048;32;32;8;max;ordered;247;;cores;;250;1665370
cenva;2048;128;128;1;max;task;51;;cores;;50;460898
cenva;2048;64;64;1;max;task;51;;cores;;50;478526
cenva;2048;32;32;1;max;task;51;;cores;;50;578132
cenva;2048;128;128;1;max;task;126;;cores;;125;1017981
cenva;2048;64;64;1;max;task;126;;cores;;125;1058127
cenva;2048;32;32;1;max;task;126;;cores;;125;1321886
cenva;2048;128;128;1;max;task;247;;cores;;250;2039612
