machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1161137
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1141205
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1129807
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1124458
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1119905
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1139326
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1128256
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1125588
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1933317
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1867336
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1903398
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1867283
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1893700
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1926027
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1884354
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1874289
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1933407
cenva;2048;32;32;2;max;task;247;;unlabelled;250;1893733
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;409821
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;411060
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;407910
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;405356
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;410185
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;418270
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;417787
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;407225
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;409233
cenva;2048;128;128;2;max;ordered;51;;unlabelled;50;414563
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;423396
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;423273
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;424287
cenva;2048;64;64;2;max;ordered;51;;unlabelled;50;424483
